alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n,best_fixed_rule,best_fixed_rule_accuracy
0.05,fltrust_aligned,Discrete+AdaAggRL-detector,0.7527999999999999,0.0,0.7527999999999999,0.7527999999999999,1.0,krum,0.89598
0.05,gaussian_noise,Discrete+AdaAggRL-detector,0.5383,0.0,0.5383,0.5383,1.0,trimmed_mean,0.73821
0.05,krum_collusion,Discrete+AdaAggRL-detector,0.6797000000000002,0.0,0.6797000000000002,0.6797000000000002,1.0,fltrust,0.6399
0.05,label_flipping,Discrete+AdaAggRL-detector,0.7043999999999999,0.0,0.7043999999999999,0.7043999999999999,1.0,fltrust,0.63995
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector,0.7179,0.0,0.7179,0.7179,1.0,trimmed_mean,0.76468
0.05,sign_flipping,Discrete+AdaAggRL-detector,0.5499,0.0,0.5499,0.5499,1.0,fltrust,0.6482699999999999
0.05,trim_attack,Discrete+AdaAggRL-detector,0.6059,0.0,0.6059,0.6059,1.0,fltrust,0.6490400000000001
0.1,fltrust_aligned,Discrete+AdaAggRL-detector,0.7813000000000001,0.0,0.7813000000000001,0.7813000000000001,1.0,krum,0.89445
0.1,gaussian_noise,Discrete+AdaAggRL-detector,0.6315000000000001,0.0,0.6315000000000001,0.6315000000000001,1.0,trimmed_mean,0.8051900000000002
0.1,krum_collusion,Discrete+AdaAggRL-detector,0.6475000000000002,0.0,0.6475000000000002,0.6475000000000002,1.0,fltrust,0.62514
0.1,label_flipping,Discrete+AdaAggRL-detector,0.7372,0.0,0.7372,0.7372,1.0,fltrust,0.62377
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8531000000000001,0.0,0.8531000000000001,0.8531000000000001,1.0,trimmed_mean,0.8310599999999999
0.1,sign_flipping,Discrete+AdaAggRL-detector,0.6215999999999999,0.0,0.6215999999999999,0.6215999999999999,1.0,fltrust,0.6227699999999999
0.1,trim_attack,Discrete+AdaAggRL-detector,0.4559,0.0,0.4559,0.4559,1.0,fltrust,0.62287
0.5,fltrust_aligned,Discrete+AdaAggRL-detector,0.8865999999999999,0.0,0.8865999999999999,0.8865999999999999,1.0,median,0.89978
0.5,gaussian_noise,Discrete+AdaAggRL-detector,0.7718999999999999,0.0,0.7718999999999999,0.7718999999999999,1.0,trimmed_mean,0.89474
0.5,krum_collusion,Discrete+AdaAggRL-detector,0.8862,0.0,0.8862,0.8862,1.0,krum,0.88238
0.5,label_flipping,Discrete+AdaAggRL-detector,0.8782,0.0,0.8782,0.8782,1.0,trimmed_mean,0.88595
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8402999999999998,0.0,0.8402999999999998,0.8402999999999998,1.0,trimmed_mean,0.8985899999999999
0.5,sign_flipping,Discrete+AdaAggRL-detector,0.8284,0.0,0.8284,0.8284,1.0,krum,0.8844100000000001
0.5,trim_attack,Discrete+AdaAggRL-detector,0.8755,0.0,0.8755,0.8755,1.0,trimmed_mean,0.86913
