alpha,attack_type,winner,winner_accuracy,runner_up,runner_up_accuracy,gap,combined_std,gap_exceeds_std
0.05,fltrust_aligned,krum,0.8960666666666667,trimmed_mean,0.8479,0.04816666666666669,0.001286379949165482,True
0.05,gaussian_noise,trimmed_mean,0.7374333333333333,fltrust,0.64542,0.09201333333333328,0.03961261034314319,True
0.05,krum_collusion,fltrust,0.6399,trimmed_mean,0.4698666666666666,0.17003333333333343,0.0300378155019323,True
0.05,label_flipping,fltrust,0.63995,trimmed_mean,0.5959666666666666,0.043983333333333374,0.03696090637588706,True
0.05,low_mag_backdoor,trimmed_mean,0.7646000000000001,fltrust,0.71377,0.05083000000000004,0.05455672848647768,False
0.05,sign_flipping,fltrust,0.6482699999999999,trimmed_mean,0.5075,0.14076999999999995,0.029293326773172083,True
0.05,trim_attack,fltrust,0.6490400000000001,trimmed_mean,0.4178666666666666,0.23117333333333345,0.02867417772491452,True
0.1,fltrust_aligned,krum,0.8946333333333332,trimmed_mean,0.8718,0.02283333333333315,0.000308166599946797,True
0.1,gaussian_noise,trimmed_mean,0.8041666666666668,median,0.6279666666666667,0.17620000000000013,0.01296096612873932,True
0.1,krum_collusion,fltrust,0.62514,trimmed_mean,0.4273666666666667,0.19777333333333336,0.030276945741023728,True
0.1,label_flipping,fltrust,0.62377,trimmed_mean,0.5924666666666666,0.03130333333333346,0.027563068192416693,True
0.1,low_mag_backdoor,trimmed_mean,0.8313333333333333,fltrust,0.7582000000000001,0.07313333333333316,0.019201524092872582,True
0.1,sign_flipping,fltrust,0.6227699999999999,trimmed_mean,0.43886666666666657,0.18390333333333336,0.03551994638799425,True
0.1,trim_attack,fltrust,0.62287,median,0.4056333333333333,0.21723666666666674,0.0290444595304877,True
0.5,fltrust_aligned,median,0.9,trimmed_mean,0.8985,0.0015000000000000568,0.0005291502622130378,True
0.5,gaussian_noise,trimmed_mean,0.8947666666666668,median,0.8926333333333334,0.0021333333333334314,0.001933697460477043,True
0.5,krum_collusion,trimmed_mean,0.8799666666666667,krum,0.8724666666666666,0.007500000000000062,0.025134788832483622,False
0.5,label_flipping,krum,0.8870333333333335,trimmed_mean,0.8862000000000001,0.0008333333333333526,0.0010245323118733573,False
0.5,low_mag_backdoor,trimmed_mean,0.8984333333333333,median,0.8962333333333334,0.0021999999999998687,0.0005663950291201348,True
0.5,sign_flipping,krum,0.8847999999999999,trimmed_mean,0.8731666666666668,0.011633333333333162,0.0012585455629644704,True
0.5,trim_attack,trimmed_mean,0.8689333333333332,krum,0.8568666666666668,0.012066666666666448,0.02619075468351498,False
